year,disaster_type,count
2000,Flood,1
2000,Storm,3
2000,Wildfire,1
2001,Flood,4
2001,Storm,3
2001,Wildfire,2
2002,Drought,1
2002,Storm,3
2002,Wildfire,1
2003,Flood,4
2003,Storm,5
2003,Wildfire,1
2004,Flood,3
2004,Storm,3
2005,Flood,1
2005,Storm,2
2005,Wildfire,1
2006,Drought,1
2006,Flood,1
2006,Storm,3
2006,Wildfire,3
2007,Flood,1
2007,Storm,1
2008,Flood,4
2008,Storm,1
2009,Extreme temperature,1
2009,Flood,2
2009,Storm,2
2009,Wildfire,1
2010,Flood,5
2010,Storm,3
2011,Flood,1
2011,Storm,1
2011,Wildfire,1
2012,Flood,2
2013,Storm,1
2013,Wildfire,2
2014,Extreme temperature,1
2014,Storm,1
2014,Wildfire,2
2015,Flood,1
2015,Storm,4
2015,Wildfire,3
2016,Flood,1
2016,Storm,1
2016,Wildfire,1
2017,Storm,2
2017,Wildfire,1
2018,Drought,1
2018,Extreme temperature,1
2018,Flood,1
2019,Flood,1
2019,Wildfire,2
2020,Flood,1
2020,Storm,2
2021,Flood,4
2021,Storm,2
2021,Wildfire,1
2022,Flood,5
2023,Flood,4
2023,Storm,2
2024,Flood,2
2024,Storm,1
2025,Storm,2
2025,Wildfire,2
2026,Flood,1
2026,Wildfire,1
