year,month,month_num,storage
1949,January,01,82.37
1949,February,02,71.63
1949,March,03,73.82
1949,April,04,76.0
1949,May,05,80.32
1949,June,06,86.58
1949,July,07,89.96
1949,August,08,89.77
1949,September,09,93.2
1949,October,10,97.03
1949,November,11,99.39
1949,December,12,97.92
1950,January,01,87.64
1950,February,02,85.04
1950,March,03,79.85
1950,April,04,76.73
1950,May,05,73.67
1950,June,06,73.03
1950,July,07,76.41
1950,August,08,81.95
1950,September,09,89.4
1950,October,10,94.59
1950,November,11,94.12
1950,December,12,86.51
1951,January,01,75.62
1951,February,02,65.78
1951,March,03,52.48
1951,April,04,57.59
1951,May,05,67.7
1951,June,06,76.9
1951,July,07,88.73
1951,August,08,96.63
1951,September,09,99.46
1951,October,10,99.51
1951,November,11,99.05
1951,December,12,96.57
1952,January,01,88.12
1952,February,02,80.6
1952,March,03,70.69
1952,April,04,67.42
1952,May,05,73.88
1952,June,06,86.4
1952,July,07,90.67
1952,August,08,91.96
1952,September,09,94.29
1952,October,10,98.76
1952,November,11,100.01
1952,December,12,99.89
1953,January,01,96.91
1953,February,02,89.89
1953,March,03,77.28
1953,April,04,71.09
1953,May,05,74.72
1953,June,06,84.33
1953,July,07,87.58
1953,August,08,90.95
1953,September,09,93.99
1953,October,10,97.36
1953,November,11,99.42
1953,December,12,96.9
1954,January,01,88.24
1954,February,02,86.46
1954,March,03,72.47
1954,April,04,66.23
1954,May,05,67.82
1954,June,06,72.46
1954,July,07,78.17
1954,August,08,83.24
1954,September,09,88.45
1954,October,10,90.08
1954,November,11,99.93
1954,December,12,97.62
1955,January,01,84.24
1955,February,02,77.48
1955,March,03,66.93
1955,April,04,60.61
1955,May,05,60.58
1955,June,06,66.84
1955,July,07,76.8
1955,August,08,88.73
1955,September,09,92.61
1955,October,10,99.19
1955,November,11,98.5
1955,December,12,99.16
1956,January,01,99.44
1956,February,02,87.61
1956,March,03,81.51
1956,April,04,83.86
1956,May,05,92.37
1956,June,06,96.08
1956,July,07,94.96
1956,August,08,95.18
1956,September,09,96.16
1956,October,10,100.16
1956,November,11,100.0
1956,December,12,97.53
1957,January,01,87.25
1957,February,02,75.32
1957,March,03,62.78
1957,April,04,52.94
1957,May,05,53.58
1957,June,06,52.02
1957,July,07,58.13
1957,August,08,60.26
1957,September,09,31.54
1957,October,10,48.35
1957,November,11,52.11
1957,December,12,51.88
1958,January,01,46.27
1958,February,02,42.98
1958,March,03,38.24
1958,April,04,34.11
1958,May,05,34.72
1958,June,06,35.62
1958,July,07,41.59
1958,August,08,64.76
1958,September,09,75.76
1958,October,10,86.59
1958,November,11,91.77
1958,December,12,94.05
1959,January,01,88.02
1959,February,02,82.92
1959,March,03,79.42
1959,April,04,75.58
1959,May,05,72.4
1959,June,06,73.15
1959,July,07,75.89
1959,August,08,87.02
1959,September,09,96.22
1959,October,10,97.24
1959,November,11,94.7
1959,December,12,91.47
1960,January,01,83.5
1960,February,02,77.37
1960,March,03,69.43
1960,April,04,68.29
1960,May,05,89.41
1960,June,06,94.13
1960,July,07,95.93
1960,August,08,97.56
1960,September,09,99.26
1960,October,10,99.51
1960,November,11,99.74
1960,December,12,96.95
1961,January,01,88.7
1961,February,02,80.75
1961,March,03,76.36
1961,April,04,74.35
1961,May,05,73.67
1961,June,06,76.89
1961,July,07,86.95
1961,August,08,92.3
1961,September,09,95.29
1961,October,10,92.31
1961,November,11,85.34
1961,December,12,77.67
1962,January,01,70.08
1962,February,02,63.71
1962,March,03,56.18
1962,April,04,50.56
1962,May,05,49.81
1962,June,06,52.22
1962,July,07,55.52
1962,August,08,65.43
1962,September,09,71.65
1962,October,10,81.8
1962,November,11,82.07
1962,December,12,78.16
1963,January,01,72.95
1963,February,02,68.58
1963,March,03,61.88
1963,April,04,56.8
1963,May,05,57.85
1963,June,06,59.72
1963,July,07,69.09
1963,August,08,77.94
1963,September,09,88.26
1963,October,10,92.0
1963,November,11,90.59
1963,December,12,84.11
1964,January,01,72.95
1964,February,02,67.05
1964,March,03,60.51
1964,April,04,56.44
1964,May,05,53.75
1964,June,06,55.53
1964,July,07,72.37
1964,August,08,94.37
1964,September,09,99.79
1964,October,10,99.78
1964,November,11,98.72
1964,December,12,99.67
1965,January,01,93.77
1965,February,02,83.76
1965,March,03,74.85
1965,April,04,72.17
1965,May,05,69.68
1965,June,06,67.53
1965,July,07,70.19
1965,August,08,81.25
1965,September,09,87.48
1965,October,10,85.53
1965,November,11,84.45
1965,December,12,81.32
1966,January,01,72.09
1966,February,02,65.01
1966,March,03,58.45
1966,April,04,54.17
1966,May,05,53.3
1966,June,06,52.47
1966,July,07,56.24
1966,August,08,75.33
1966,September,09,87.53
1966,October,10,94.39
1966,November,11,98.26
1966,December,12,98.75
1967,January,01,91.38
1967,February,02,79.63
1967,March,03,69.27
1967,April,04,62.76
1967,May,05,56.4
1967,June,06,52.02
1967,July,07,48.31
1967,August,08,49.91
1967,September,09,56.23
1967,October,10,55.14
1967,November,11,50.53
1967,December,12,47.57
1968,January,01,43.31
1968,February,02,36.34
1968,March,03,30.26
1968,April,04,26.71
1968,May,05,31.7
1968,June,06,43.96
1968,July,07,57.01
1968,August,08,71.02
1968,September,09,78.42
1968,October,10,92.24
1968,November,11,99.14
1968,December,12,98.16
1969,January,01,90.38
1969,February,02,84.45
1969,March,03,79.33
1969,April,04,76.16
1969,May,05,77.49
1969,June,06,85.39
1969,July,07,88.48
1969,August,08,92.29
1969,September,09,96.61
1969,October,10,97.61
1969,November,11,96.45
1969,December,12,96.27
1970,January,01,93.38
1970,February,02,83.29
1970,March,03,78.06
1970,April,04,77.09
1970,May,05,90.39
1970,June,06,96.25
1970,July,07,98.07
1970,August,08,99.4
1970,September,09,98.71
1970,October,10,98.79
1970,November,11,98.74
1970,December,12,93.84
1971,January,01,89.17
1971,February,02,83.01
1971,March,03,73.43
1971,April,04,67.26
1971,May,05,72.7
1971,June,06,82.81
1971,July,07,88.6
1971,August,08,84.61
1971,September,09,92.99
1971,October,10,93.74
1971,November,11,94.24
1971,December,12,93.15
1972,January,01,88.14
1972,February,02,82.24
1972,March,03,74.31
1972,April,04,70.12
1972,May,05,66.71
1972,June,06,63.22
1972,July,07,67.19
1972,August,08,71.72
1972,September,09,74.26
1972,October,10,74.43
1972,November,11,72.03
1972,December,12,63.7
1973,January,01,57.02
1973,February,02,56.03
1973,March,03,52.81
1973,April,04,50.7
1973,May,05,53.13
1973,June,06,59.74
1973,July,07,64.67
1973,August,08,77.25
1973,September,09,49.38
1973,October,10,54.01
1973,November,11,56.59
1973,December,12,55.04
1974,January,01,51.84
1974,February,02,46.98
1974,March,03,41.65
1974,April,04,41.11
1974,May,05,45.49
1974,June,06,45.82
1974,July,07,54.42
1974,August,08,61.47
1974,September,09,63.45
1974,October,10,65.15
1974,November,11,66.46
1974,December,12,66.13
1975,January,01,62.79
1975,February,02,56.63
1975,March,03,52.35
1975,April,04,49.03
1975,May,05,48.71
1975,June,06,50.53
1975,July,07,56.81
1975,August,08,67.61
1975,September,09,69.94
1975,October,10,75.44
1975,November,11,78.68
1975,December,12,78.56
1976,January,01,73.95
1976,February,02,67.33
1976,March,03,62.36
1976,April,04,57.97
1976,May,05,55.11
1976,June,06,54.17
1976,July,07,52.75
1976,August,08,61.04
1976,September,09,69.74
1976,October,10,78.38
1976,November,11,82.19
1976,December,12,81.06
1977,January,01,76.64
1977,February,02,71.18
1977,March,03,66.52
1977,April,04,64.71
1977,May,05,64.01
1977,June,06,74.6
1977,July,07,85.13
1977,August,08,91.49
1977,September,09,94.29
1977,October,10,94.66
1977,November,11,91.23
1977,December,12,84.35
1978,January,01,77.86
1978,February,02,72.97
1978,March,03,68.49
1978,April,04,66.22
1978,May,05,65.68
1978,June,06,70.35
1978,July,07,79.18
1978,August,08,91.66
1978,September,09,96.9
1978,October,10,98.74
1978,November,11,98.89
1978,December,12,98.96
1979,January,01,94.06
1979,February,02,88.07
1979,March,03,83.08
1979,April,04,80.13
1979,May,05,79.29
1979,June,06,78.53
1979,July,07,78.29
1979,August,08,82.13
1979,September,09,89.9
1979,October,10,96.7
1979,November,11,95.67
1979,December,12,88.42
1980,January,01,78.1
1980,February,02,73.72
1980,March,03,63.52
1980,April,04,61.0
1980,May,05,58.23
1980,June,06,58.88
1980,July,07,60.81
1980,August,08,69.12
1980,September,09,78.99
1980,October,10,82.77
1980,November,11,85.0
1980,December,12,80.92
1981,January,01,73.5
1981,February,02,66.6
1981,March,03,62.21
1981,April,04,57.87
1981,May,05,56.32
1981,June,06,57.59
1981,July,07,67.33
1981,August,08,82.17
1981,September,09,90.22
1981,October,10,92.82
1981,November,11,92.41
1981,December,12,87.45
1982,January,01,80.0
1982,February,02,72.58
1982,March,03,67.3
1982,April,04,63.59
1982,May,05,62.43
1982,June,06,63.14
1982,July,07,62.78
1982,August,08,62.15
1982,September,09,62.27
1982,October,10,61.45
1982,November,11,56.65
1982,December,12,53.3
1983,January,01,49.18
1983,February,02,43.89
1983,March,03,39.8
1983,April,04,36.96
1983,May,05,35.79
1983,June,06,38.06
1983,July,07,45.2
1983,August,08,52.65
1983,September,09,65.47
1983,October,10,73.55
1983,November,11,78.1
1983,December,12,80.24
1984,January,01,77.33
1984,February,02,72.32
1984,March,03,69.0
1984,April,04,66.91
1984,May,05,64.77
1984,June,06,63.63
1984,July,07,27.44
1984,August,08,35.13
1984,September,09,40.56
1984,October,10,44.04
1984,November,11,44.06
1984,December,12,43.21
1985,January,01,40.89
1985,February,02,38.02
1985,March,03,35.78
1985,April,04,35.13
1985,May,05,34.5
1985,June,06,35.79
1985,July,07,37.69
1985,August,08,44.92
1985,September,09,48.61
1985,October,10,50.44
1985,November,11,51.9
1985,December,12,54.15
1986,January,01,54.2
1986,February,02,52.16
1986,March,03,49.78
1986,April,04,48.67
1986,May,05,48.81
1986,June,06,50.16
1986,July,07,56.51
1986,August,08,59.23
1986,September,09,62.13
1986,October,10,66.24
1986,November,11,67.29
1986,December,12,68.7
1987,January,01,67.82
1987,February,02,65.64
1987,March,03,64.3
1987,April,04,63.28
1987,May,05,63.19
1987,June,06,63.96
1987,July,07,66.68
1987,August,08,69.51
1987,September,09,72.21
1987,October,10,73.23
1987,November,11,72.71
1987,December,12,72.38
1988,January,01,70.22
1988,February,02,67.35
1988,March,03,64.57
1988,April,04,62.67
1988,May,05,62.12
1988,June,06,63.22
1988,July,07,64.98
1988,August,08,68.06
1988,September,09,71.41
1988,October,10,72.95
1988,November,11,73.71
1988,December,12,74.27
1989,January,01,73.02
1989,February,02,70.52
1989,March,03,68.74
1989,April,04,68.06
1989,May,05,67.47
1989,June,06,69.35
1989,July,07,71.67
1989,August,08,75.99
1989,September,09,79.94
1989,October,10,85.15
1989,November,11,87.4
1989,December,12,85.92
1990,January,01,82.45
1990,February,02,80.52
1990,March,03,77.69
1990,April,04,77.79
1990,May,05,76.9
1990,June,06,77.08
1990,July,07,82.6
1990,August,08,89.33
1990,September,09,93.54
1990,October,10,96.0
1990,November,11,95.55
1990,December,12,93.43
1991,January,01,91.09
1991,February,02,87.65
1991,March,03,84.33
1991,April,04,81.96
1991,May,05,79.84
1991,June,06,79.81
1991,July,07,82.97
1991,August,08,88.98
1991,September,09,96.2
1991,October,10,97.01
1991,November,11,95.72
1991,December,12,94.47
1992,January,01,93.45
1992,February,02,90.92
1992,March,03,88.22
1992,April,04,85.91
1992,May,05,84.3
1992,June,06,83.76
1992,July,07,83.09
1992,August,08,84.65
1992,September,09,91.18
1992,October,10,95.42
1992,November,11,94.98
1992,December,12,94.89
1993,January,01,92.8
1993,February,02,89.96
1993,March,03,86.88
1993,April,04,84.04
1993,May,05,81.94
1993,June,06,81.48
1993,July,07,82.12
1993,August,08,84.6
1993,September,09,88.84
1993,October,10,88.91
1993,November,11,89.36
1993,December,12,88.75
1994,January,01,87.54
1994,February,02,86.23
1994,March,03,84.45
1994,April,04,82.88
1994,May,05,81.53
1994,June,06,81.79
1994,July,07,81.71
1994,August,08,82.39
1994,September,09,83.1
1994,October,10,85.09
1994,November,11,86.23
1994,December,12,83.72
1995,January,01,81.6
1995,February,02,78.93
1995,March,03,76.31
1995,April,04,76.04
1995,May,05,76.17
1995,June,06,79.71
1995,July,07,83.82
1995,August,08,87.09
1995,September,09,87.74
1995,October,10,89.54
1995,November,11,89.95
1995,December,12,89.1
1996,January,01,87.58
1996,February,02,86.92
1996,March,03,85.29
1996,April,04,86.09
1996,May,05,85.19
1996,June,06,84.72
1996,July,07,86.28
1996,August,08,90.66
1996,September,09,95.6
1996,October,10,97.34
1996,November,11,96.79
1996,December,12,94.98
1997,January,01,91.84
1997,February,02,88.16
1997,March,03,84.88
1997,April,04,82.23
1997,May,05,80.34
1997,June,06,79.0
1997,July,07,77.75
1997,August,08,77.12
1997,September,09,77.76
1997,October,10,76.47
1997,November,11,74.78
1997,December,12,71.25
1998,January,01,67.79
1998,February,02,64.76
1998,March,03,61.19
1998,April,04,58.96
1998,May,05,57.84
1998,June,06,59.0
1998,July,07,60.73
1998,August,08,62.23
1998,September,09,64.24
1998,October,10,67.15
1998,November,11,68.06
1998,December,12,67.31
1999,January,01,65.36
1999,February,02,63.08
1999,March,03,60.82
1999,April,04,58.99
1999,May,05,57.55
1999,June,06,57.9
1999,July,07,57.63
1999,August,08,59.21
1999,September,09,60.43
1999,October,10,60.82
1999,November,11,59.86
1999,December,12,57.99
2000,January,01,56.62
2000,February,02,53.4
2000,March,03,50.28
2000,April,04,47.97
2000,May,05,47.47
2000,June,06,50.37
2000,July,07,51.87
2000,August,08,54.05
2000,September,09,58.38
2000,October,10,61.25
2000,November,11,63.17
2000,December,12,61.36
2001,January,01,58.44
2001,February,02,55.39
2001,March,03,52.94
2001,April,04,51.37
2001,May,05,49.67
2001,June,06,49.68
2001,July,07,50.06
2001,August,08,52.92
2001,September,09,55.31
2001,October,10,57.88
2001,November,11,59.99
2001,December,12,59.59
2002,January,01,57.99
2002,February,02,56.42
2002,March,03,54.02
2002,April,04,52.26
2002,May,05,51.28
2002,June,06,50.86
2002,July,07,52.88
2002,August,08,53.84
2002,September,09,54.47
2002,October,10,54.68
2002,November,11,53.3
2002,December,12,51.67
2003,January,01,48.63
2003,February,02,46.0
2003,March,03,43.75
2003,April,04,42.29
2003,May,05,41.06
2003,June,06,41.05
2003,July,07,42.53
2003,August,08,47.5
2003,September,09,52.12
2003,October,10,55.9
2003,November,11,57.89
2003,December,12,56.86
2004,January,01,54.95
2004,February,02,52.97
2004,March,03,50.31
2004,April,04,48.74
2004,May,05,47.74
2004,June,06,49.06
2004,July,07,51.63
2004,August,08,54.69
2004,September,09,57.2
2004,October,10,58.09
2004,November,11,60.79
2004,December,12,60.67
2005,January,01,59.21
2005,February,02,59.07
2005,March,03,56.96
2005,April,04,55.1
2005,May,05,53.24
2005,June,06,52.41
2005,July,07,52.38
2005,August,08,54.63
2005,September,09,59.47
2005,October,10,60.28
2005,November,11,59.88
2005,December,12,58.51
2006,January,01,56.01
2006,February,02,53.75
2006,March,03,51.15
2006,April,04,49.95
2006,May,05,49.33
2006,June,06,48.12
2006,July,07,47.39
2006,August,08,47.0
2006,September,09,46.18
2006,October,10,43.8
2006,November,11,41.94
2006,December,12,39.32
2007,January,01,36.89
2007,February,02,34.51
2007,March,03,32.33
2007,April,04,30.35
2007,May,05,29.1
2007,June,06,31.06
2007,July,07,36.12
2007,August,08,39.0
2007,September,09,40.11
2007,October,10,40.32
2007,November,11,40.41
2007,December,12,39.66
2008,January,01,37.66
2008,February,02,35.97
2008,March,03,33.75
2008,April,04,31.95
2008,May,05,30.68
2008,June,06,30.12
2008,July,07,31.22
2008,August,08,34.21
2008,September,09,35.11
2008,October,10,34.44
2008,November,11,34.66
2008,December,12,35.52
2009,January,01,33.77
2009,February,02,31.52
2009,March,03,29.72
2009,April,04,28.47
2009,May,05,26.95
2009,June,06,25.99
2009,July,07,27.01
2009,August,08,28.4
2009,September,09,32.85
2009,October,10,37.82
2009,November,11,37.94
2009,December,12,37.43
2010,January,01,36.11
2010,February,02,34.86
2010,March,03,34.01
2010,April,04,33.49
2010,May,05,32.7
2010,June,06,33.68
2010,July,07,35.43
2010,August,08,41.05
2010,September,09,46.86
2010,October,10,49.37
2010,November,11,51.24
2010,December,12,53.03
2011,January,01,53.02
2011,February,02,53.43
2011,March,03,52.92
2011,April,04,53.11
2011,May,05,53.82
2011,June,06,55.74
2011,July,07,59.19
2011,August,08,61.2
2011,September,09,61.97
2011,October,10,63.48
2011,November,11,65.01
2011,December,12,66.08
2012,January,01,65.23
2012,February,02,64.22
2012,March,03,64.82
2012,April,04,64.49
2012,May,05,65.04
2012,June,06,70.01
2012,July,07,73.15
2012,August,08,76.75
2012,September,09,80.17
2012,October,10,81.16
2012,November,11,81.27
2012,December,12,80.72
2013,January,01,78.13
2013,February,02,75.84
2013,March,03,73.65
2013,April,04,71.77
2013,May,05,70.0
2013,June,06,70.79
2013,July,07,71.97
2013,August,08,76.7
2013,September,09,78.64
2013,October,10,80.14
2013,November,11,80.96
2013,December,12,80.65
2014,January,01,78.47
2014,February,02,76.11
2014,March,03,73.88
2014,April,04,72.81
2014,May,05,71.38
2014,June,06,72.62
2014,July,07,77.37
2014,August,08,79.69
2014,September,09,80.45
2014,October,10,79.71
2014,November,11,78.5
2014,December,12,77.16
2015,January,01,75.27
2015,February,02,73.33
2015,March,03,71.06
2015,April,04,69.6
2015,May,05,69.0
2015,June,06,68.34
2015,July,07,69.52
2015,August,08,72.73
2015,September,09,74.5
2015,October,10,73.22
2015,November,11,71.51
2015,December,12,68.8
2016,January,01,66.62
2016,February,02,64.32
2016,March,03,62.02
2016,April,04,59.91
2016,May,05,58.75
2016,June,06,59.38
2016,July,07,62.98
2016,August,08,66.17
2016,September,09,68.24
2016,October,10,71.88
2016,November,11,72.62
2016,December,12,71.36
2017,January,01,69.32
2017,February,02,67.26
2017,March,03,64.88
2017,April,04,64.11
2017,May,05,63.15
2017,June,06,62.17
2017,July,07,62.55
2017,August,08,65.41
2017,September,09,69.94
2017,October,10,69.69
2017,November,11,68.5
2017,December,12,69.33
2018,January,01,67.51
2018,February,02,64.96
2018,March,03,62.06
2018,April,04,59.65
2018,May,05,58.5
2018,June,06,58.33
2018,July,07,59.39
2018,August,08,62.44
2018,September,09,64.66
2018,October,10,63.66
2018,November,11,63.01
2018,December,12,61.9
2019,January,01,59.03
2019,February,02,56.4
2019,March,03,53.62
2019,April,04,51.34
2019,May,05,49.65
2019,June,06,50.11
2019,July,07,53.25
2019,August,08,58.19
2019,September,09,62.69
2019,October,10,63.22
2019,November,11,63.83
2019,December,12,62.98
2020,January,01,62.46
2020,February,02,61.67
2020,March,03,61.07
2020,April,04,60.89
2020,May,05,63.26
2020,June,06,63.78
2020,July,07,67.06
2020,August,08,71.43
2020,September,09,72.51
2020,October,10,75.09
2020,November,11,75.44
2020,December,12,75.13
2021,January,01,74.86
2021,February,02,73.14
2021,March,03,72.34
2021,April,04,71.93
2021,May,05,71.04
2021,June,06,74.86
2021,July,07,77.69
2021,August,08,80.64
2021,September,09,84.07
2021,October,10,87.41
2021,November,11,89.95
2021,December,12,89.91
2022,January,01,88.29
2022,February,02,86.36
2022,March,03,85.69
2022,April,04,84.37
2022,May,05,83.48
2022,June,06,86.81
2022,July,07,88.0
2022,August,08,92.45
2022,September,09,94.94
2022,October,10,97.9
2022,November,11,97.93
2022,December,12,97.0
2023,January,01,95.1
2023,February,02,93.08
2023,March,03,91.31
2023,April,04,90.33
2023,May,05,89.76
2023,June,06,91.61
2023,July,07,92.37
2023,August,08,92.05
2023,September,09,92.54
2023,October,10,95.89
2023,November,11,95.02
2023,December,12,95.1
2024,January,01,95.37
2024,February,02,93.32
2024,March,03,90.71
2024,April,04,89.01
2024,May,05,87.33
2024,June,06,86.5
2024,July,07,88.95
2024,August,08,89.69
2024,September,09,89.85
2024,October,10,90.06
2024,November,11,88.31
2024,December,12,86.37
2025,January,01,83.51
2025,February,02,80.95
2025,March,03,78.1
2025,April,04,75.43
2025,May,05,73.0
2025,June,06,71.47
2025,July,07,72.19
2025,August,08,72.35
2025,September,09,73.25
2025,October,10,73.44
2025,November,11,75.11
2025,December,12,74.9
